제목,내용
"딥브레인AI, 딥러닝 학습 진행하는 'AI 교수' 구현"," 이번에 제작된 AI 휴먼은 김평원 교수의 수업 강의를 토대로 맞춤형 스크립트를 제작해 딥러닝 학습을... GAN 알고리즘과 딥러닝 기반 뛰어난 영상 합성 기술력으로 립싱크와 움직임, 표정 등 실제 모델과 흡사한 AI... "
"AI세탁기ㆍ이차전지 소재 연구원, 4월 '대한민국 엔지니어상' 선정", 대기업 수상자인 서현석 LG전자㈜ 연구위원은 세계 최초로 세탁기 동작 알고리즘에 딥러닝 기술을 활용한... 서현석 연구위원은 세계 최초로 DD모터 전류 파형 빅데이터 학습을 통한 딥러닝 인공지능 세탁기를... 
"[단독] 크래프톤, 음성 AI 활용 플랫폼팀 분사..내부선 불안감", 7일 파이낸셜뉴스 취재를 종합하면 크래프톤은 지난 3월 23일 딥러닝 본부 산하 '프로젝트 벨루가실' 분사를... 크래프톤 딥러닝 본부는 AI 기술을 연구 및 개발(R&D)하는 조직이다. 이 중 벨루가실은 텍스트로 자연스로운... 
경기도농업기술원 AI 딥러닝 활용한 과수 화상병 간이진단 프로그램 개발, 경기도농업기술원(원장 김석철)이 인공지능(AI) 딥러닝 학습법을 적용한 ‘과수 화상병 간이 진단 프로그램’을 개발했다. 화상병 형상이 담긴 사진 3만장으로 AI를 학습시켜 화상병 감염 여부를 파악하게 하는 것이... 
"UNIST 연구팀, 딥러닝 기반 리튬이온배터리 수명 진단 모델 개발!"," 연구진은 현재 활발히 연구되고 있는 인공지능 분야의 딥러닝 모델을 기반으로 ‘리튬이온 배터리 평가를 위한 딥러닝 기반 그래픽 접근법(Deep-learning-based Graphical approach to Estimation of Lithium-ion batteries SOH, D... "
"피알원, 빅데이터·딥러닝 기반 ESG 지표 개발", 피알원(대표 조재형)이 빅데이터와 딥러닝 기술에 기반한 ESG 지표인 ‘P.ESG(피이에스지)’를 개발해 본격적인 서비스에 나섰다. P.ESG는 주관적 ESG지표와 달리 웹에서 수집한 문장 단위의 빅데이터를 딥러닝 AI... 
"행복한 서산, 아름다운 서산, 만들기 위한 다양한 활동"," 서산의료원, AI 딥러닝 기술 탑재로 MRI 촬영시간 단축 AI 딥러닝 기술 도입으로 환자 편의성 향상 충청남도 서산의료원(원장 김영완)은 지난 2020년 도입한 3.0T MRI( SIEMENS社 Lumina)에 AI 딥러닝 기술을 탑재했다고 밝혔다.... "
[쫌아는기자들] 딥러닝과 비슷한 싱가포르 진출 4 레이어 전략," 요즘 자주 보이는 AI 딥러닝의 ‘인공신경망(Artificial Neural Networks) 구조’와 유사한 그림<아래>입니다. 다층 신경망 구조에선 입력 레이어에 다양한 기본 유닛들이 있어, 이 유닛들이 은닉 레이어에 있는 유닛들과... "
"앤비젼-뉴로클, 딥러닝 기반 검사 시스템 시장 위해 '맞손'", 앤비젼이 뉴로클의 오토딥러닝을 출시했다. 국내 딥러닝 소프트웨어 개발 업체 뉴로클과의 협력을 통해 딥러닝 기반 검사 시스템 시장을 확장해 나갈 계획이다. 뉴로클에서 개발한 오토 딥러닝 소프트웨어 뉴로-T(Neuro-T)... 
장병규의 ‘SW교육론’…‘크래프톤 정글’에서 듣다," 그는 “결국 AI 딥러닝은 도구다. 아무리 좋은 칼이 있어도 도움이 안되는 경우가 있듯, 딥러닝도 마찬가지”라며 “다만 수많은 기존 시스템통합(SI) 개발자들의 설 자리는 없어질 수도 있을 것 같다. 대신 딥러닝이란... "
"챗GPT 시대, '데이터 눈알 붙이기'론 안 돼…정책 전환 시급"," ‘데이터 눈 붙이기’에 머문 과거 챗GPT는 기계학습을 통해 모방하면서 기술을 습득하며, 인공신경망을 통해 딥러닝 기술을 구현한다. 기존 딥러닝과는 다른 트랜스포머 구조다. 트랜스포머 모델은 문장 속 단어와... "
"GPU 생태계 선두에 선 엔비디아, 침투하려는 NPU 업계"," 2017년 구글이 자체 개발한 딥러닝 칩 ‘TPU’를 처음 선보였을 때, 인공지능(AI) 업계는 큰 변혁이 일어날... AI 연구자들은 한 번에 많은 데이터를 처리할 수 있다는 GPU의 특성이 그래픽 처리 외에 딥러닝 등에 사용하면... "
"서울시, 전국 최초 AI ‘딥러닝’으로 디지털성범죄 24시간 자동추적한다"," 서울시가 디지털성범죄 예방을 위해 전국 최초로 AI(인공지능) 기술을 도입해 24시간 불법 촬영물 자동 추적‧감시에 나선다. 서울시는 AI가 페이스북, 트위터 등 SNS에 공유되는 불법 촬영물을 감지하는 시스템을 개발해... "
"[#Let's 스타트업] ""딥러닝으로 '지질나노입자' 개발비용 절감"""," 뮤토월드 ""딥러닝 기반 인공지능으로 '지질나노입자(LNP)' 개발 비용과 시간을 줄이겠습니다."" 최근... 이 대표는 ""딥러닝 기술을 이용한 소프트웨어 'MuDDI(Drug Delivery Intelligence)'를 통해 고객사인 바이오테크 기업의... "
"뉴로클, 대한소화기학회서 AI 의료연구용 SW 선봬"," AI 딥러닝 비전 전문기업 뉴로클이 8일 그랜드 워커힐호텔에서 개최되는 'SIDDS & 대한소화기학회... 뉴로티는 AI 딥러닝이 이미지 내 병변 종류, 위치, 크기를 자동으로 판독하는 이미지 기반 의료연구용 소프트웨어다.... "
[병원계 소식] 4월 6일, 선정돼 '딥러닝 기반 이상호흡음 및 이상심음 분석 알고리즘 개발' 과제 수행에 4월부터 본격 돌입한다. 이... 함께 딥러닝 기반 이상호흡음 및 이상심음 분석 알고리즘 개발에 박차를 가할 계획이다. 딥러닝 기반의... 
"허영인 회장 디지털 경영 나선다... SPC, 'AI 스캐너 사업' 확대"," 'AI 스캐너'는 딥러닝(Deep learning, 심층학습) 기반의 객체 인식 AI 기술을 활용한 제품 인식 스캐너로, 매장... 이는 데이터 분석, 딥러닝, 알고리즘 기술 등 섹타나인만의 고도화된 자체 기술력이 집약된 결과물로, 'AI... "
AI가 거기서 뭐 하는데요… 딥러닝 기술 직접 만들어 쓰는 건설사들, 이 시스템은 현장 근로자가 휴대전화 카메라나 액션캠 등 개인 촬영기기로 흙막이 가시설 바깥쪽 도로 노면 영상을 찍어 플랫폼에 등록하면 AI가 딥러닝(심층학습) 방식으로 이를 분석해 균열 정보를 시각화한다. 이후... 
‘세계보안엑스포ㆍ전자정부 정보보호 솔루션 페어’ 성황리 폐막," (주)인텔리빅스, 딥러닝 기반으로 화재 감지 ‘재난안전 솔루션’ © 최누리 기자 비전 AI 전문기업 (주)... 이 솔루션엔 딥러닝 기반의 연기ㆍ화재와 수위 감지 인식 엔진이 탑재돼 있다. 이를 통해 발화ㆍ화재 지점이나... "
딥러닝 창시자도 걱정한 AI의 지능…범죄 악용 우려 증폭, 인공지능의 학습 모델인 '딥러닝'을 창시한 요슈아 벤지오 몬트리올대 교수도 동참했다. 벤지오 교수는 딥러닝을 창시하며 2018년 튜링상을 수상하기도 했다. AI의 아버지로도 통한다. 이재용 삼성전자 회장의 AI... 
"“내 취향, AI가 제대로 저격했다”…네이버 ‘AiTEMS’, 상품 추천 비결은 ‘...", 추천 시스템에 ‘딥러닝’ 기술을 적용해 단순히 소비자가 구매하거나 열람한 상품 외에도 정말 필요할... 이처럼 네이버의 AiTEMS이 눈에 띄는 성과를 올린 데에는 기존 추천 시스템과 달리 필터링에 딥러닝 기술을... 
[매경의 창] 구글과 마이크로소프트," 가능 딥러닝의 상징적 인물인 제프리 힌턴 토론토대 교수는 2012년 말에 사원이 3명인 회사를 설립하고는... 2012년 이후 딥러닝 시대가 열렸고, 2017년 이후 딥러닝의 중심은 트랜스포머 어텐션으로 넘어왔다. 페이스북은... "
"파인더스AI, 완전 무인 매장 상반기 상용화"," AI 딥러닝과 컴퓨터 비전 기술을 기반으로 4D 자세 추정(4D Pose Estimation), 물품 이동 추적 및 분석해 99%에... 고가의 라이다 센서를 사용하지 않고, 저렴한 2D 일반 CCTV 카메라를 활용하면서도 딥러닝 기술로 정확도를... "
직접 해보면 생각보다 어렵지 않다 [기자의 추천 책]," 〈모두의 딥러닝〉이다. 서점 유람을 하다가 우연히 발견했다. 제목에 ‘모두의’가 들어가 있길래 ‘모두에는 문돌이도 포함되겠지?’라는 막연한 기대로 샀는데, 대단히 가성비 높은 선택이었다. 〈모두의 딥러닝〉은... "
"광명시, 시민 안전 등 빅데이터 적극 반영", 지역에 ‘딥러닝 기반 영상분석’이 가능한 ‘지능형 CCTV 관제시스템’을 구축해 안전 환경을 한층 강화한다는 방침이다. 지능형 CCTV 관제시스템은 CCTV에 딥러닝... 
"㈜애드인에듀, 'ROS와 딥러닝을 활용한 인공지능 자율주행 과정' 2기 모집", 애드인에듀 제공 IT전문 교육기관 ㈜애드인에듀가 'ROS와 딥러닝을 활용한 인공지능 자율주행 과정' 2기... 올해도 딥러닝&AI로봇 자율주행 개발자 양성에 나서고자 한다. 이번 교육과정에서는 자율주행시스템 구현에... 
"""K-AI 반도체 쾌거"" 리벨리온 '아톰' 엔비디아·퀄컴보다 최대 2배 빨라...언...", 리벨리온은 이번 MLPerf에서 데이터센터 설치 후 운영 결과를 보는 '추론: 데이터센터' 성능을 제출한 국내 경쟁사들과 달리 딥러닝 서버의 단독 성능을 보는 '추론: 에지' 성능을 제출했다. 아톰 기반의 딥러닝... 
"""2년 연속 역성장 없다""…크래프톤, 게임·신사업 두마리 토끼 시동", 크래프톤 딥러닝 본부 산하로 음성AI(인공지능) 활용 플랫폼 사업을 담당하는 벨루가실도 신설 법인 형태로... 딥러닝 게임 개발 및 연구에 주력해 온 SP2 조직도 신설법인으로 스핀오프를 검토중이다. 딥러닝을 활용한... 
"우리아이들병원, 아날로그 청진→ AI 기반 분석체계 확립", 선정돼 ‘딥러닝 기반 이상호흡음 및 이상심음 분석 알고리즘 개발’ 과제 수행에 본격 돌입한다고 5일... 함께 딥러닝 기반 이상호흡음 및 이상심음 분석 알고리즘 개발을 추진한다. 딥러닝 기반의 이상호흡음 및... 
"딥러닝 접목, ‘후면 무인단속장비’ 첫 도입", 이에 제주자치경찰단이 인공지능(AI) 영상분석 기술과 딥러닝을 접목한 첨단기술을 활용해 교차로 내 꼬리물기와 이륜차 교통법규 위반행위를 근절하고자 도내 최초로 ‘후면 무인단속장비’를 도입･운영한다.... 
완전자율주행 실현되나… 딥러닝 고도화로 더 똑똑해지는 AI, 선성인 미국 미시간대 앤아버 연구원 등은 이 같은 문제를 해결하기 위해 AI를 학습시키는 ‘딥러닝’... 기존 딥러닝 기술에서는 AI를 학습시키는 자료의 양이 중요했다면 D2RL 기술은 자료의 질에 초점을 맞췄다. D2RL... 
"뉴로클, 성능 고도화된 '뉴로티&뉴로알 3.2' 출시"," 사용자는 뉴로티에서 이미지 데이터 전처리, AI 딥러닝 모델 학습 및 생성, 모델의 성능 평가 등을 수행할 수... 해당 기능은 더 높은 성능의 딥러닝 모델을 생성하기 위해 다양한 모델 타입으로 실험하는 것을 희망하는... "
[스프] 챗GPT는 반도체 시장의 메시아가 될 것인가," 바둑 천재 이세돌을 꺾은 알파고도, 똑 소리는 나는 천재 AI 챗GPT도 바로 심층신경망을 통한 학습(딥러닝)... 가진 딥러닝 모델을 학습시키는 프로젝트를 진행했습니다. 1,000만 개의 이미지를 3일 동안 학습했는데, CPU... "
[Why] 머스크·워즈니악 등 IT 거물들이 “AI 개발 일시 중단” 촉구한 이유," 위즈니악, ‘딥러닝의 대부’로 불리는 요슈아 벤지오 캐나다 몬트리올대 교수, 세계적 AI 권위자로... 벤지오 교수는 제프리 힌튼 캐나다 토론토대 교수, 얀 르쿤 미국 뉴욕대 교수와 함께 딥러닝 연구의 ‘3대 대부’... "
"[챗GPT가 촉발한 AI 혁명, 급변하는 흐름 읽기] 김준환 스트라드비젼 대표"," 소비만으로 딥러닝 기반 객체 인식 기능을 구현하는 탁월한 성능과 효율성을 바탕으로, 세계 13개 자동차 제조사와 50개 넘는 차종에 공급계약을 체결하는 등 글로벌 시장에서 이미 기술력을 인정받았다. 딥러닝 기술... "
"지뉴소프트, 2023 월드IT쇼서 딥러닝 대화엔진 솔루션 소개한다... ""사회 각 ..."," 지뉴소프트(대표 김동일)는 오는 4월 19일(수)부터 21일(금)까지 서울 코엑스(COEX)에서 열리는 '2023 월드IT쇼(WIS 2023)'에 참가한다고 밝혔다. 전체 임직원의 83%가 기술직으로 구성된 지뉴소프트는 AI, Big Data, Cloud... "
"우리아이들병원, 'AI바우처 지원사업' 주관기관 선정", 선정돼 '딥러닝 기반 이상호흡음 및 이상심음 분석 알고리즘 개발' 과제 수행에 4월부터 본격 돌입한다.... 함께 딥러닝 기반 이상호흡음 및 이상심음 분석 알고리즘 개발에 박차를 가할 계획이다. 딥러닝 기반의... 
[르포] `변리계의 국선`… 연 1만건 지식재산 도우미," 여기에다 만약의 특허분쟁을 대비하는 것도 고민해야 합니다.""(공익변리사) ""딥러닝 기술로 특허 출원하려고 하는데, 출원 절차는 일반 발명과 같은가요?"" (B사 개발이사) ""딥러닝을 발명에 활용한다고 일반적인 특허출원... "
"에너자이, 미국 최대 보안 전시회서 ‘딥러닝 ISP 솔루션’ 소개", 부스에서 딥러닝 기반 Neural ISP 솔루션을 선보인다고 밝혔다. ISC West는 세계 3대 물리 보안 전시회... 전시회에서 딥러닝 기반 Neural ISP 솔루션을 주력으로 선보일 예정이다. 에너자이가 개발한 딥러닝 기반 Neural... 
"길 잃은 치매 어르신, AI가 찾는다…이노뎁 ""RE-ID, 지자체 관심↑"""," 위한 딥러닝 알고리즘을 사용한다. 따라서 자동차 번호판, 안면인식 및 복장, 소지품 등으로 사람을 특정해... 특히 이노뎁은 노후된 CCTV에서도 최대 70% 수준의 번호판 및 사람 인식이 가능한 딥러닝 솔루션을 갖고... "
"[AI혁명]⑪'한국의 엔비디아' 리벨리온, AI반도체 '아톰' 앞세워 도약"," 리벨리온은 AI의 핵심이라 할 수 있는 딥러닝 알고리즘 연산에 활용되는 반도체 신경망 처리장치(NPU... 트랜스포머는 딥러닝 알고리즘의 일종으로, 문장 속 단어 같은 데이터 내부 관계를 추적해 맥락과 의미를... "
누군가 했더니…AI가 만든 배우 윤여정의 20대, 특히 KB라이프생명은 이 영상에 AI 딥러닝과 디에이징 기술을 이용해 배우의 20대 모습을 자연스럽게 구현해냈다. 광고 영상에 AI 딥러닝과 디에이징 기술을 활용한 것은 KB라이프생명이 국내 최초다. KB라이프생명은... 
SPC 허영인 회장의 디지털 경영... 'AI 스캐너 사업' 확대," 'AI 스캐너'는 딥러닝(Deep learning, 심층학습) 기반의 객체 인식 AI 기술을 활용한 제품 인식 스캐너로, 매장... 이는 데이터 분석, 딥러닝, 알고리즘 기술 등 섹타나인만의 고도화된 자체 기술력이 집약된 결과물로, 'AI... "
"뉴로클, 대한소화기학회에서 AI 의료연구용 SW 선보여"," AI 딥러닝 비전 전문기업 뉴로클이 오는 8일 그랜드 워커힐호텔에서 개최되는 'SIDDS & 대한소화기학회... 뉴로티는 AI 딥러닝이 이미지 내 병변의 종류, 위치, 크기를 자동으로 판독하는 '이미지 기반의 의료연구용... "
산업현장 구석구석 파고드는 AI기술...월드IT쇼 참가기업 사례," 데이터 딥러닝을 통한 의사결정을 시각화하는 기술을 도입해 공정 최적화 가이던스의 이유를 설명하는 AI... 해당 작업은 딥러닝 기술을 활용하여, 70% 이상 자동화할 수 있지만, 국내외 많은 기관과 기업 입장에선... "
"‘대부분 최신게임 완벽 지원’...엔비디아, 지포스 RTX 4070 출시"," 새로운 지포스 RTX 4070 GPU는 DLSS(딥러닝 슈퍼 샘플링) 3 뉴럴 렌더링, 실시간 레이 트레이싱 기술과... DLSS은 딥러닝 기술을 통해 저해상도를 고해상도로 업스케일링하는 엔비디아의 이미지 업스케일링... "
"리치경제연구소 이지형 대표, 주식시장에 딥러닝 AI 기술 접목해 성과"," AI 딥러닝 알고리즘 시스템을 주식시장에 접목해 주목할만한 수익을 얻었다고 밝혔다. 이지형 대표는 ""국내 주식시장의 움직임을 2년간 딥러닝 시킨 AI알고리즘을 기반으로 종목을 선정한 결과 약 70억원의 누적 수익을... "
[창간특집] 신약개발 AI 벤처의 기술과 사업방향," 같다, 딥러닝이 태동하고 추가적인 정보 없이 단순 이미지 학습만으로 개와 고양이를 구분하고... 필자는 과거 2015년도에 딥러닝 기술로 스타트업을 창업 했는데, 그때까지만 해도 국내에서는 '딥러닝'이라는... "
"에너자이, 미국 최대 보안 전시회서 ‘딥러닝 ISP 솔루션’ 선보인다", 부스(#32069)에서 딥러닝 기반 Neural ISP 솔루션을 선보인다고 밝혔다. ‘ISC West’는 세계 3대 물리 보안... 전시회에서 딥러닝 기반 Neural ISP 솔루션을 주력으로 선보일 예정이다. 에너자이가 개발한 딥러닝 기반... 
스마트 파킹 솔루션부터 AI 통합관제 시스템까지," 아이디스는 특히 CCTV 환경에 특화된 아이디스 딥러닝 엔진(IDLE)을 소개하며 자신감을 내비쳤다. 아이디스의 딥러닝 엔진은 AI가 차량을 감지하고 번호를 추출, 분석해 이면 주차 위치까지 파악해 주차 관제 및 유도... "
"""꼬리물기 꼼짝마"" 제주에 AI.딥러닝 활용 후면 단속장비 첫 도입"," 이번 도입하는 후면 무인단속장비는 인공지능(AI) 영상분석 기술과, 컴퓨터가 스스로 외부 데이터를 조합, 분석해 학습하는 '딥러닝'을 접목한 첨단기술을 활용한 장비다. 지금의 무인단속장비는 주로 차량의 앞쪽 번호판을... "
라벨 데이터가 적은 상황에서 딥러닝(DL) 영상분류 성능 개선법 ③," 이전 기고문 확인하기 ☞ 라벨 데이터가 적은 상황에서 딥러닝(DL) 영상분류 성능 개선법 ① ☞ 라벨 데이터가 적은 상황에서 딥러닝(DL) 영상분류 성능 개선법 ② 우선, Pytorch의... "
"뉴로클, 엔비디아 GTC서 AI 딥러닝 활용 솔루션 선보여"," AI 딥러닝 비전 소프트웨어'를 주제로 제조, 의료, 교육 등 다양한 산업 현장에서 활용되는 뉴로클의 솔루션을 소개할 예정이다. 뉴로클은 코딩이나 AI 관련 지식 여부에 상관없이 누구나 AI 딥러닝 모델을 만들고... "
"유비온, 세계 최대 에듀테크 박람회 ‘BETT UK 2023’ 참가", 참가해 딥러닝 기반의 자율주행자동차 키트를 활용한 인공지능·코딩 교육프로그램 ‘uCoda CAR(유코다... 위에서 딥러닝 자율주행자동차 실습 등을 통해 학생들이 인공지능에 흥미를 갖고 몰입할 수 있게 하는... 
[르포] 4개월 만에 달라진 포스코 포항제철소…미래 향해 달려간다," 또 딥러닝 활용해 연소성, 부착물 예측 및 자동제어를, 스마트 센서 활용해 실시간 온도 및 쇳물 배출 데이터화 하기도 했다. 이어 딥러닝을 활용해 1시간 쇳물온도를 예측하고 자동제어하고 있다. 피해가 가장 심각했던... "
"[#IT라운지] KT, AI 보이스 '망고보드' 탑재·U+-플랫폼베이스 '업무협약'·카..."," AI 휴먼은 김평원 교수의 수업 강의를 토대로 맞춤형 스크립트를 제작해 딥러닝 학습을 진행했다. TTS(AI... 포바이포는 딥러닝 AI 화질개선기술을 연구 개발하고, 이를 기반으로 높은 몰입감을 주는 초실감화 콘텐츠... "
"[더벨][챗GPT발 AI대전]크래프톤, 게임 제작 버추얼 프렌드 투 트랙 전략", 다만 딥러닝 기술을 게임 제작에 활용하거나 이용자와 함께 게임을 즐길 수 있는 AI 친구 '버추얼 프렌드... 김창한 대표가 초기 단계부터 투입돼 전체적인 방향을 잡고 딥러닝 본부가 앞장서 관련 기술 개발에 박차를... 
"[단독] 국과수, 사체부검에 AI 활용한다… 뇌출혈 등 진단", 딥러닝(심층학습)을 통해 뇌출혈 유무를 자동 검출할 수 있는 AI 학습 모델을 구축하겠다는 것이다.... 하지만 기존 임상 의료영상에 사용되는 딥러닝 기술을 사후 영상에 적용하기에는 한계가 있다는 게 국과수의... 
서울대·고려대 등 2023년 케이무크 선도대학 15개교 선정," (AI), 딥러닝 등 신기술·신산업 분야 특성화 분야 강좌를 매년 4개 이상 개발해 공개한다. 국내외 석학... 부산대(인공지능, 신재생에너지)와 서울대(반도체, 로봇) 성균관대(자동차, 딥러닝) 고려대(반도체, 인공지능)... "
"4S Mapper, 'AI EXPO KOREA 2023' 참가... 딥러닝 & 공간정보 기반 GeoAI 솔루..."," 카프리 CfSM은 딥러닝 및 드론을 이용해 도로 위 차량 이미지를 자동으로 제거해주는 제품으로, 2022년... 개발된 솔루션으로는 ▲딥러닝 및 드론 기반의 무(無) 차량 도로 정사 사진 제작 솔루션 ▲다방향... "
"뉴로클 이홍석 대표, '엔비디아 GTC'서 AI 딥러닝 기술 소개"," AI 딥러닝 비전 소프트웨어’라는 주제로 제조, 의료, 교육 등의 다양한 산업 현장에서 활용되는 뉴로클의 솔루션을 소개할 예정이다. 뉴로클은 코딩이나 AI 관련 지식 여부에 상관없이 누구나 AI 딥러닝 모델을... "
"광주소방, 전국 첫 AI 신고접수 구축 1년…성과 가시화", 6초 단축…딥러닝 통해 고도화 [광주=뉴시스] 변재훈 기자 = 광주시 소방안전본부가 전국 최초로 구축한... AI 시스템의 위치 정보 파악 효율을 높이고자 지난해 하반기에는 딥러닝(Deep Learning)도 마쳤다. 119상황실에... 
"알파코, 한국산업인력공단과 K-디지털 플랫폼 사업 약정 체결"," AI 딥러닝 부트 캠프'와 'AI 엔지니어 부트 캠프'를 운영하고 있으며 수료생들은 LG CNS, 넷마블, 중외정보기술 등 다양한 분야에서 활동하고 있다. 특히 현재 모집 중인 '누구나 AI 딥러닝 부트 캠프'의 경우... "
"[게임주총] 김창한 대표 ""무능함 지속된다면 은퇴 각오"""," 크래프톤이 딥러닝과 메타버스 등 잠재력을 가진 새로운 수익모델도 발굴한다. 김 대표는 ""딥러닝 본부 주도로 여러 게임 제작단계에 딥러닝을 접목하고, 네이버제트와 합작법인으로 개발 중인 오픈 플랫폼도 유저에게... "
"뉴로클, '뉴로티& 뉴로알 3.2'로 머신비전계 초격차 실현", AI 딥러닝 비전검사 전문기업 뉴로클(Neurocle)이 5일 뉴로티(Neuro-T)&뉴로알(Neuro-R) 3.2를 출시했다. 뉴로클의 AI 딥러닝 솔루션은 복잡한 규칙의 프로그래밍을 요하는 룰베이스 알고리즘 기반의 머신비전 검사나... 
"머신 비전 최강자 코그넥스, 한국 전기차 시장 정조준", 최근에는 딥 러닝(Deep Learning) 연구소를 설립하는 등 한국을 아시아 R&D 거점으로 활용하고 있다. 한국을... 룰베이스와 딥러닝 비전 소프트웨어 등 다양한 제품과 서비스군을 취급하고 있다. 공정 단계에서 난반사로... 
[표지로 읽는 과학] 완전 자율주행차를 꿈꾸는 '강화 AI 기술', 기존 딥러닝 기술을 강화한 ‘D2RL(고밀도 심층 강화학습)’ 기술을 통해 AI의 학습 능력을 향상시킨 연구 결과를 23일 네이처에 발표했다. D2RL 기술의 특징은 기존 딥러닝과 달리 학습에 필요한 정보만을 선별한다는... 
[바이오 위클리] AI 동물 행동 분석 프로그램…액트노바," 네, 저희는 다양한 AI·딥러닝 기술들을 개발해서 실험동물들의 행동을 분석하는 데 적극 이용을 하고... 빅데이터, 딥러닝 이런 모든 기술들을 축약해둔 기술이 동물 행동 분석 프로그램 이런 거 같은데요. 아마 많은... "
"슈퍼마이크로, 인공지능·메타버스 시대 앞당겨줄 최신 서버 출시...엔비디아..."," 해당 서버는 AI, 딥러닝, 머신러닝 및 HPC 워크로드에 최적화되었다. 대규모 AI 장벽을 넘어설 수 있도록 지원하는 엔비디아 HGX H100 8-GPU는 가장 빠른 엔비디아 NV링크(NVLink) 4.0 기술, NV스위치(NVSwitch)... "
[SECON 2023] '아이디스 4.0'으로 아이디스만의 안전 구축," 아이디스가 제22회 세계 보안엑스포에서 아이디스 4.0 딥러닝 엔진을 적용한 국방, 산업, 주차 등 다양한... 이번 전시회에서 아이디스는 보안을 위한 인공지능 '아이디스 딥러닝 엔진 4.0(IDLE 4.0)'을 선보였다. IDLE 4.0은... "
"AI가 채팅으로 업무 보조…LG화학, 업계 스마트화 이끈다", 가능해 딥러닝 기술로 고성능 OLED 개발도 [서울=뉴시스]유희석 기자 = LG화학이 4차 산업혁명 시대에... IoT와 빅데이터 기반의 딥러닝을 통해 생산 과정에서의 불량률을 개선하고 업무의 효율성을 높이는 등 생산성... 
